time	HeartRate	RR
0	61	1.0166
2.0523	61	0.9824
3.0710	61	0.8906
4.0759	61	0.8183
5.0779	63	0.7958
6.0814	65	0.8281
7.0847	66	0.8271
8.0874	66	0.8281
9.5494	67	0.8476
10.551	68	0.8554
11.553	68	0.8427
12.554	68	0.8173
13.558	69	0.8027
14.560	70	0.7968
15.562	70	0.7880
16.565	71	0.7841
17.568	71	0.7871
18.569	72	0.7861
19.574	73	0.7519
20.575	74	0.7304
21.580	75	0.7226
22.582	76	0.7246
23.583	77	0.7392
24.585	77	0.7441
25.587	78	0.75
26.589	78	0.7441
27.592	79	0.6884
28.595	80	0.6728
29.596	81	0.6865
30.598	82	0.7031
31.600	83	0.7324
32.602	83	0.7246
33.605	83	0.6923
34.606	83	0.6748
35.609	85	0.6591
36.611	87	0.6337
37.612	88	0.5947
38.614	91	0.6044
39.618	93	0.6152
40.619	94	0.625
41.621	94	0.6494
42.623	94	0.6533
43.625	93	0.6523
44.627	93	0.6552
45.630	93	0.6630
47.041	92	0.6748
48.043	91	0.6748
49.044	91	0.6464
50.045	92	0.6035
51.047	94	0.6103
52.048	95	0.6455
53.051	95	0.7089
54.053	94	0.7734
55.056	91	0.8085
56.057	84	0.8291
57.060	83	0.8066
58.061	82	0.8007
59.064	80	0.7753
60.066	80	0.7763
61.068	80	0.7578
62.070	80	0.7314
63.072	80	0.8027
64.073	80	0.8193
65.075	79	0.8203
66.077	78	0.8085
67.081	78	0.7724
68.089	78	0.7519
69.096	78	0.7148
70.098	79	0.7412
71.100	79	0.7978
72.108	79	0.8662
73.116	78	0.8574
74.120	77	0.8574
75.126	76	0.8515
76.133	75	0.8525
77.134	75	0.8593
78.135	74	0.8505
79.137	74	0.8408
80.137	74	0.8427
81.139	73	0.8486
82.142	73	0.8349
83.145	73	0.8115
84.146	73	0.7890
85.148	73	0.7958
86.149	73	0.8417
87.152	73	0.8564
88.153	73	0.9013
89.154	72	0.8466
90.154	72	0.8476
91.156	72	0.8212
92.158	72	0.8212
93.160	72	0.8496
94.162	72	0.8730
95.164	72	0.8427
96.166	72	0.8085
97.170	72	0.8251
98.171	72	0.8271
99.172	72	0.7929
100.17	73	0.7441
101.17	73	0.75
102.21	74	0.7802
103.23	74	0.8144
104.24	74	0.8486
105.24	74	0.8710
106.24	74	0.8867
107.24	73	0.8759
108.24	73	0.8867
109.25	72	0.8798
110.25	72	0.8613
111.25	71	0.9169
112.25	71	0.9228
113.25	70	0.8818
114.25	70	0.8544
115.25	70	0.8134
116.26	70	0.7919
117.27	71	0.8046
118.28	71	0.8349
119.28	71	0.8369
120.28	71	0.8222
121.28	72	0.8291
122.28	72	0.8359
123.29	72	0.8085
124.29	72	0.7890
125.29	73	0.7392
126.29	74	0.7138
127.29	75	0.6777
128.30	77	0.6826
129.30	78	0.7226
130.30	79	0.8291
131.30	78	0.9003
132.30	78	0.9306
133.30	75	0.9248
134.30	74	0.8574
135.31	74	0.8876
136.31	73	0.9677
137.31	72	0.9560
138.31	71	0.9687
139.32	70	0.9492
140.32	70	0.9394
141.32	69	0.9296
142.32	69	0.9355
143.33	68	0.9199
144.33	68	0.9716
145.33	67	1.0341
146.33	67	1.0166
147.33	66	1.0166
148.33	65	0.9902
149.34	65	0.9765
150.34	64	0.9697
151.34	64	0.9531
152.34	64	0.9257
153.34	64	0.8623
154.34	65	0.8496
155.34	65	0.7919
156.35	66	0.7802
157.35	68	0.7998
158.35	68	0.8701
159.35	68	0.9091
160.36	68	0.9843
161.36	68	0.9697
162.36	67	0.8906
163.36	67	0.8896
164.36	67	0.8857
165.37	67	0.8808
166.37	67	0.8984
167.37	67	0.9316
168.37	67	0.9521
169.39	67	0.9580
170.39	66	0.9746
171.39	65	0.9707
172.39	65	0.9394
173.40	65	0.9111
174.40	65	0.9189
175.40	65	0.9150
176.40	65	0.8701
177.40	65	0.8574
178.41	66	0.9150
179.41	66	0.9433
180.41	66	0.9355
181.41	66	0.9560
182.42	65	0.9746
183.42	65	0.9091
184.42	65	0.8798
185.42	65	0.8212
186.43	66	0.8466
187.43	66	0.8818
188.43	67	0.9843
189.43	66	0.9863
190.43	66	0.9531
191.44	65	0.9384
192.44	65	0.9189
193.44	65	0.8789
194.44	66	0.8818
195.45	66	0.9335
196.45	66	0.9384
197.45	66	0.9716
198.45	65	1.0058
199.45	65	1.0136
200.46	64	0.9726
201.46	64	0.8876
202.46	64	0.8662
203.46	65	0.8759
204.46	65	0.8417
205.46	66	0.8203
206.47	67	0.8056
207.47	68	0.7753
208.49	69	0.7763
209.51	70	0.7783
210.51	71	0.7753
211.52	72	0.75
212.52	73	0.75
213.52	74	0.7607
214.52	75	0.7451
215.52	76	0.7343
216.52	76	0.7216
217.53	77	0.7246
218.56	78	0.7070
219.56	79	0.7275
220.56	80	0.7792
221.56	80	0.8486
222.57	79	0.8818
223.58	77	0.8408
224.58	77	0.7949
225.58	76	0.7871
226.58	76	0.7714
227.58	76	0.7880
228.58	76	0.7871
229.59	76	0.7958
230.59	76	0.7939
231.59	76	0.7636
232.59	77	0.7421
233.59	77	0.7558
234.60	77	0.7675
235.60	77	0.8212
236.60	77	0.8232
237.60	77	0.8310
238.60	76	0.8300
239.61	75	0.8437
240.61	75	0.8876
241.61	74	0.8759
242.61	74	0.9062
243.61	73	0.9443
244.62	72	0.9277
245.63	71	0.9365
246.63	71	0.9130
247.63	70	0.9023
248.63	70	0.7685
249.64	71	0.7216
250.64	72	0.6708
251.65	74	0.6650
252.67	77	0.6767
253.68	78	0.7412
254.70	78	0.7851
255.70	78	0.8261
256.71	78	0.7509
257.71	78	0.7128
258.71	79	0.6445
259.71	81	0.6308
260.72	83	0.6494
261.72	84	0.6914
262.72	85	0.7255
263.72	84	0.8154
264.72	83	0.8583
265.76	82	0.9160
266.77	80	0.9121
267.77	79	0.9248
268.77	78	0.8710
269.77	76	0.8496
270.77	75	0.8066
271.78	75	0.8125
272.78	75	0.8291
273.78	75	0.8164
274.78	75	0.7568
275.78	75	0.7812
276.79	75	0.8076
277.79	75	0.8164
278.79	75	0.8125
279.79	75	0.7978
280.79	75	0.7812
281.80	75	0.7363
282.80	76	0.7294
283.80	76	0.7304
284.80	77	0.7783
285.80	77	0.8632
286.81	76	0.8457
287.81	76	0.8291
288.81	75	0.8037
289.81	75	0.7792
290.81	75	0.7412
291.81	76	0.7529
292.82	76	0.8115
293.82	76	0.8740
294.82	76	0.9218
295.82	74	0.9169
296.82	73	0.9238
297.83	72	0.9267
298.83	72	0.8623
299.83	71	0.8115
300.83	72	0.7939
301.83	72	0.8496
302.84	72	0.8740
303.84	72	0.9228
304.84	71	0.9355
305.85	70	0.9101
306.85	70	0.8476
307.89	70	0.7568
308.92	71	0.7539
309.93	72	0.7802
310.93	73	0.8183
311.94	73	0.7929
312.94	73	0.7714
313.95	74	0.7519
314.95	74	0.7626
315.96	75	0.8261
316.96	75	0.8212
317.96	75	0.8212
318.97	75	0.8447
319.98	74	0.9384
320.98	74	0.9687
321.99	71	0.9775
322.99	70	0.8935
323.99	70	0.8408
324.99	70	0.8085
326.00	70	0.8994
327.00	70	0.9824
328.02	70	0.9960
329.03	69	0.8632
330.04	69	0.8242
331.04	69	0.8242
332.05	70	0.8671
333.05	70	0.9042
334.06	70	0.9033
335.06	69	0.9042
336.06	69	0.8378
337.06	69	0.7968
338.06	70	0.8027
339.07	70	0.8984
340.07	70	0.9199
341.08	70	0.9199
342.08	70	0.9228
343.09	69	0.9257
344.09	68	0.8095
345.09	70	0.7451
346.10	71	0.7001
347.11	72	0.7128
348.11	74	0.7363
349.11	75	0.7529
350.12	75	0.8320
351.13	75	0.8369
352.13	75	0.7998
353.13	74	0.8037
354.14	74	0.7792
355.14	75	0.7529
356.15	75	0.7509
357.16	75	0.7861
358.16	76	0.8613
359.17	75	0.9130
360.17	74	0.9091
361.18	73	0.9199
362.18	72	0.8876
363.18	72	0.8183
364.20	72	0.8242
365.21	72	0.8310
366.22	72	0.8837
367.22	71	0.8369
368.22	71	0.8261
369.22	71	0.8212
370.22	71	0.8994
371.25	71	0.9257
372.25	71	0.9638
373.25	70	0.9697
374.26	69	0.9287
375.26	68	0.9140
376.26	68	0.8945
377.27	68	0.8837
378.27	68	0.9257
379.27	67	0.9619
380.28	67	0.9833
381.28	67	0.9462
382.29	66	0.9707
383.29	66	0.9667
384.29	65	0.9960
