time	HeartRate	RR
0	96	0.6464
2.5710	95	0.6806
3.5736	93	0.6943
4.5767	91	0.6757
5.5792	91	0.6650
6.5818	91	0.6630
7.5837	91	0.6503
8.5860	91	0.6328
9.5886	91	0.6396
10.591	92	0.6552
11.594	92	0.6679
12.596	91	0.6582
13.598	92	0.6181
14.598	93	0.6181
15.600	94	0.6181
16.602	94	0.6298
17.604	94	0.6376
18.607	95	0.6132
19.609	95	0.5996
20.612	97	0.5859
21.614	100	0.5537
22.616	103	0.5566
23.630	104	0.5888
24.635	103	0.5917
25.654	102	0.6064
26.681	101	0.5966
27.683	101	0.5908
28.685	102	0.5742
29.686	103	0.5722
30.688	103	0.5908
31.689	103	0.5888
32.691	103	0.5771
33.692	103	0.5966
34.695	103	0.5810
35.697	103	0.5781
36.699	103	0.5791
37.701	103	0.5722
38.704	104	0.5615
39.706	105	0.5585
40.708	106	0.5722
41.710	105	0.5673
42.712	106	0.5546
43.715	106	0.5634
44.718	106	0.5634
45.721	107	0.5566
46.723	107	0.5722
47.726	106	0.5976
48.728	104	0.6025
49.730	103	0.5976
50.732	102	0.5908
51.734	102	0.5898
52.736	102	0.5888
53.739	102	0.5859
54.741	102	0.5859
56.065	102	0.5908
57.067	102	0.5947
58.069	101	0.5966
59.071	101	0.6142
60.073	99	0.6367
61.076	98	0.6201
62.078	98	0.6074
63.080	98	0.6025
64.081	99	0.5927
65.084	99	0.5839
66.086	100	0.5888
67.087	101	0.6035
68.089	102	0.5673
69.091	103	0.5585
70.093	104	0.5781
71.095	103	0.5791
72.097	103	0.5927
73.099	103	0.5878
74.101	104	0.5566
75.103	105	0.5527
76.104	107	0.5458
77.107	108	0.5410
78.108	109	0.5322
79.132	110	0.5351
80.136	110	0.5634
81.146	109	0.5615
82.161	108	0.5732
83.164	107	0.5605
84.167	106	0.5751
85.173	105	0.5839
86.176	105	0.5800
87.183	105	0.5732
88.185	104	0.5966
89.196	103	0.6054
90.203	102	0.6132
91.218	101	0.6191
92.228	99	0.6279
93.230	98	0.6396
94.235	97	0.6337
95.242	96	0.6347
96.253	96	0.6435
97.260	95	0.6386
98.266	95	0.6162
99.287	96	0.6289
100.29	95	0.6708
101.31	94	0.6777
102.32	93	0.6787
103.36	92	0.6650
104.44	92	0.6367
105.48	92	0.6259
106.48	93	0.6533
107.50	93	0.6699
108.52	92	0.6679
109.54	91	0.6855
110.55	91	0.7099
111.56	89	0.6923
112.56	89	0.6376
113.56	90	0.6289
114.57	91	0.6503
115.57	92	0.6708
116.57	91	0.7392
117.59	89	0.7207
118.59	88	0.6621
119.59	88	0.6601
120.59	89	0.6787
121.60	89	0.6679
122.60	89	0.6464
123.60	90	0.6542
124.61	90	0.6503
125.61	91	0.6591
126.63	91	0.6621
127.63	91	0.6757
128.63	90	0.6845
129.64	90	0.6806
130.65	90	0.6699
131.66	90	0.6767
132.66	90	0.6298
133.66	91	0.6093
134.67	93	0.6318
