time	HeartRate	RR
0	100	0.6162
2.4174	100	0.6035
3.4199	100	0.5986
4.4218	103	0.5156
5.4238	107	0.5351
6.4263	108	0.5712
7.4279	108	0.5771
8.4316	106	0.5830
9.4334	105	0.6162
10.435	103	0.5898
11.437	103	0.5703
12.439	104	0.5537
13.442	105	0.5517
14.445	106	0.5654
16.414	105	0.5947
17.417	106	0.5214
18.422	109	0.5400
19.425	111	0.5048
20.432	113	0.5283
21.470	113	0.5400
22.473	113	0.4990
23.480	116	0.5097
24.489	116	0.5390
25.537	115	0.5214
26.554	115	0.5292
27.622	115	0.5009
28.631	117	0.5019
29.659	116	0.5322
30.671	115	0.5136
31.773	117	0.4804
32.775	120	0.4980
33.778	119	0.5273
34.779	116	0.5126
35.792	117	0.5068
36.793	117	0.5214
37.797	117	0.4990
38.801	119	0.4912
39.831	120	0.5117
40.832	119	0.5146
41.836	119	0.4970
42.838	118	0.5439
43.843	115	0.5429
44.844	114	0.5166
45.874	115	0.5068
46.883	118	0.4912
47.899	118	0.4990
48.906	119	0.4980
49.911	118	0.5478
50.920	115	0.5419
51.937	116	0.5039
52.941	116	0.5380
53.945	115	0.5078
54.947	117	0.4960
55.951	117	0.5390
56.957	115	0.5361
57.966	115	0.5136
58.967	116	0.5175
59.981	117	0.4794
60.988	119	0.4951
61.990	119	0.5341
62.991	117	1.0449
64.004	118	0.4892
65.006	119	0.4990
66.011	117	0.5585
67.015	115	0.5234
68.039	114	0.5439
69.043	111	0.5712
70.047	110	0.5126
71.049	111	0.5478
72.053	110	0.5478
73.057	110	0.6054
74.059	108	0.5468
75.066	109	0.5419
76.069	109	0.5585
77.071	109	0.5468
78.110	108	0.5644
79.111	108	0.5566
80.139	108	0.5449
81.141	110	0.5253
82.148	112	0.5146
83.157	113	0.4970
84.167	116	0.4980
85.176	117	0.5107
86.221	116	0.5332
87.233	115	0.5429
88.247	112	0.5761
89.252	111	0.5478
90.256	110	0.5673
91.264	107	0.5751
92.315	107	0.5566
93.320	107	0.5302
94.372	109	0.5322
95.377	108	0.5996
96.397	106	0.5869
97.406	105	0.5820
98.417	104	0.5761
99.463	103	0.5859
100.49	103	0.6025
101.49	102	0.6005
102.50	101	0.5947
103.52	101	0.5908
104.52	101	0.6093
105.53	101	0.5966
106.54	101	0.6083
107.54	100	0.6259
108.55	99	0.5996
109.56	100	0.5830
110.56	101	0.6103
111.61	100	0.6054
112.63	99	0.6142
113.63	98	0.6875
114.64	95	0.6591
115.67	94	0.6835
116.68	93	0.5800
117.68	96	0.5732
118.69	96	0.6689
119.69	95	0.6445
120.70	96	0.5996
121.70	96	0.6083
122.71	97	0.6113
123.72	98	0.5742
124.72	102	0.5468
125.73	105	0.5400
126.73	106	0.5361
127.74	108	0.5566
128.74	107	0.5849
129.74	106	0.5566
130.75	107	0.5712
131.75	106	0.6152
132.75	104	0.6572
133.78	100	0.6523
134.78	98	0.6464
135.79	97	0.6123
136.81	96	0.6386
137.82	96	0.5908
138.82	97	0.5625
139.84	99	0.7001
140.84	95	0.7353
141.86	94	0.6875
142.86	92	0.6669
143.87	92	0.7060
144.87	92	0.7304
145.88	90	0.6953
146.88	89	0.6767
147.88	89	0.6367
148.88	90	0.7207
149.89	88	0.6689
150.89	88	0.6503
151.89	89	0.6914
152.89	89	0.6972
153.89	88	0.7548
154.89	87	0.6904
155.89	87	0.6875
156.90	87	0.6894
157.90	87	0.7460
158.90	87	0.6787
159.90	87	0.7441
160.91	86	0.6640
161.91	86	0.7031
162.91	86	1.4443
163.92	86	0.6386
164.92	88	0.6064
165.92	90	0.6396
166.96	91	0.6113
167.97	93	0.7216
168.98	93	0.7216
169.99	91	0.6572
170.99	90	0.6738
172.00	90	0.6660
173.02	90	0.6767
174.02	89	0.6738
175.02	89	0.7519
176.02	87	0.7402
177.02	87	0.6669
178.03	88	0.5810
179.03	89	0.5693
180.03	92	0.6572
181.03	91	0.8125
182.04	89	0.7675
183.04	86	0.7568
184.04	85	0.7119
185.05	84	0.7080
186.05	84	0.6591
187.05	86	0.6660
188.06	86	0.6669
189.06	86	0.6933
190.06	86	0.75
191.06	86	0.7597
192.07	85	0.6630
193.07	86	0.6015
194.07	88	0.5654
195.09	92	0.6582
196.09	91	0.6777
197.09	90	0.6230
198.09	90	0.8046
199.09	88	0.6445
200.09	88	0.7324
201.10	88	0.6347
202.10	90	0.5996
203.10	93	0.5859
204.11	94	0.6425
205.11	94	0.6113
206.11	95	0.6152
207.11	97	0.5693
208.11	100	0.5468
209.11	102	0.5488
210.12	105	0.5371
211.12	107	0.5390
212.13	109	0.5205
213.13	110	0.5498
214.13	110	0.5615
215.13	111	0.5029
216.14	114	0.5068
217.14	114	0.5527
218.15	113	0.5507
219.16	111	0.5380
220.16	113	0.5126
221.16	115	0.4990
222.16	116	0.5175
223.17	116	0.5107
224.17	117	0.5146
225.18	117	0.5078
226.18	118	0.4960
227.18	118	0.5244
228.18	115	0.5517
229.19	114	0.5371
230.19	113	0.5273
231.19	112	0.5498
232.19	111	0.5605
233.19	109	0.5449
234.20	111	0.5312
235.20	111	0.5537
236.20	110	0.5429
237.21	109	0.5703
238.21	109	0.5371
239.21	109	0.5576
240.21	108	0.5820
241.23	105	0.6210
242.23	104	0.6210
243.23	102	0.6220
244.24	101	0.5869
245.24	101	0.5800
246.24	102	0.5576
247.24	103	0.5781
248.24	104	0.5781
249.24	103	0.5996
250.25	102	0.5937
251.25	102	0.5820
252.25	102	0.6386
253.25	100	0.6064
254.25	100	0.6044
255.25	100	0.6416
256.26	98	0.6533
257.26	98	0.5937
258.26	99	0.5644
259.26	101	0.5791
260.26	100	0.6201
