time	HeartRate	RR
0	85	0.6806
2.6112	85	0.6757
3.6340	86	0.6640
4.6444	88	0.6328
5.6909	89	0.6181
6.7211	91	0.6171
7.7280	92	0.6093
8.7425	94	0.6044
9.7824	95	0.6425
10.805	94	0.6777
11.822	93	0.7324
12.829	91	0.7421
13.834	89	0.7119
14.836	88	0.7011
15.841	87	0.6992
16.845	87	0.6699
17.847	88	0.6708
18.852	88	0.6611
19.866	89	0.6533
20.874	90	0.6406
22.102	90	0.6347
23.110	92	0.6425
24.116	92	0.6601
25.119	92	0.6650
26.144	91	0.6611
27.165	91	0.6484
28.185	92	0.6289
29.193	93	0.6162
30.207	95	0.5898
31.214	96	0.6044
32.222	97	0.6093
33.229	97	0.6357
34.238	96	0.6689
35.242	95	0.6923
36.246	92	0.7099
37.256	91	0.7011
38.263	89	0.6826
39.268	89	0.6923
40.270	89	0.6748
41.276	89	0.6376
42.280	90	0.6513
43.282	90	0.6835
44.292	90	0.6972
45.300	89	0.7011
46.307	88	0.7675
47.312	87	0.7861
48.319	84	0.7841
49.324	84	0.7285
50.343	83	0.7226
51.360	83	0.7060
52.365	84	0.7021
53.372	84	0.6914
54.395	84	0.7216
55.398	84	0.7382
56.400	84	0.7480
57.404	83	0.7314
58.415	83	0.7167
59.442	83	0.6669
60.446	85	0.6601
61.454	86	0.6914
62.455	86	0.6982
63.457	86	0.7070
64.462	86	0.7587
65.466	85	0.7744
66.480	83	0.7675
67.488	83	0.7236
68.489	83	0.7255
69.493	83	0.6513
70.506	85	0.6386
71.514	86	0.6591
72.526	87	0.7050
73.542	87	0.6845
74.562	87	0.6992
75.568	87	0.7128
76.575	86	0.7646
77.578	85	0.7685
78.595	84	0.7207
79.607	84	0.7246
80.613	84	0.7285
81.620	83	0.7734
82.623	83	0.7548
83.626	82	0.7685
84.638	81	0.7832
85.640	81	0.7636
86.644	81	0.7695
87.646	80	0.7910
88.648	80	0.7695
89.650	80	0.75
90.660	80	0.7578
91.662	80	0.7460
92.667	80	0.7626
93.669	80	0.7939
94.676	79	0.8066
95.678	78	0.8359
96.690	78	0.8330
97.692	77	0.8291
98.716	76	0.8085
99.717	76	0.7675
100.73	76	0.7539
101.74	77	0.7841
102.75	77	0.7880
103.75	77	0.7714
104.75	77	0.7773
105.75	77	0.7988
106.76	77	0.7773
107.76	77	0.7695
108.76	77	0.7753
109.76	77	0.7548
110.77	77	0.7587
111.77	78	0.7871
112.77	78	0.7812
113.77	77	0.7880
114.78	77	0.8242
115.78	77	0.8369
116.78	76	0.8271
117.78	76	0.8037
118.79	76	0.8076
119.79	76	0.7929
120.79	76	0.7910
121.80	76	0.7949
122.80	75	0.7968
123.81	75	0.7910
124.81	75	0.7968
125.81	75	0.8193
126.82	75	0.8437
127.83	75	0.8242
128.83	75	0.8251
129.83	74	0.8300
130.84	74	0.7939
131.85	74	0.8066
132.85	74	0.8457
