time	HeartRate	RR
0	91	0.625
1.7709	91	0.7802
2.7786	90	0.7880
3.7874	86	0.7548
4.7979	86	0.7119
5.8049	86	0.6621
6.8108	87	0.6220
7.8182	88	0.6513
8.8223	89	0.6591
9.8284	90	0.6660
10.835	90	0.6650
11.840	90	0.6435
12.843	90	0.6679
14.758	90	0.6669
15.763	90	0.6621
16.767	90	0.6572
17.769	91	0.6562
18.775	90	0.7001
19.777	89	0.7656
20.784	87	0.7060
21.785	86	0.6923
22.791	86	0.6855
23.793	87	0.6708
24.805	88	0.6318
25.810	89	0.6464
26.814	90	0.6689
27.817	89	0.6621
28.826	89	0.6630
29.827	89	0.7041
30.838	88	0.6777
31.839	88	0.6630
32.842	88	0.7128
33.844	88	0.6435
34.847	89	0.6396
35.849	90	0.6660
36.851	89	0.7490
37.853	88	0.7578
38.857	86	0.7617
39.859	85	0.6738
40.865	86	0.6591
41.867	86	0.6962
42.873	87	0.7548
43.874	85	0.8203
44.887	84	0.7138
45.888	84	0.7050
46.892	84	0.7167
47.895	84	0.6689
48.898	84	0.6972
49.900	84	0.7773
50.904	83	0.7705
51.907	83	0.6562
52.910	84	0.6582
53.912	85	0.6894
54.923	85	0.8232
55.925	84	0.8105
56.929	82	0.7998
57.931	82	0.6542
58.933	84	0.6318
59.935	85	0.7167
60.937	85	0.8476
61.939	84	0.8115
62.961	82	0.7958
63.963	81	0.7089
64.970	82	0.6953
65.971	82	0.7070
66.974	83	0.6513
67.976	84	0.6884
68.997	85	0.8339
69.999	83	0.7880
71.006	83	0.6992
72.008	83	0.6757
73.012	84	0.6777
74.014	85	0.6982
75.016	85	0.6953
76.019	85	0.7792
77.021	84	0.8457
78.028	81	0.8671
79.038	81	0.6992
80.039	81	0.7060
81.048	81	0.7177
82.049	81	0.8007
83.052	81	0.8203
84.053	80	0.8076
85.073	79	0.7324
86.076	79	0.6679
87.099	81	0.6406
88.099	82	0.7050
89.119	83	0.6884
90.120	84	0.7285
91.133	83	0.8525
92.136	81	0.8271
93.141	80	0.6650
94.143	82	0.6298
95.161	84	0.6386
96.162	86	0.6562
97.168	87	0.6738
98.169	87	0.7128
99.255	87	0.7675
100.26	85	0.7695
101.26	84	0.7578
102.26	83	0.7226
103.26	85	0.6445
104.26	86	0.6367
105.27	87	0.6240
106.27	88	0.6728
107.28	88	0.7392
108.28	87	0.8271
109.28	85	0.8476
110.28	82	0.8085
111.29	81	0.7333
112.29	81	0.7285
113.29	81	0.7070
114.30	81	0.8085
115.30	80	0.8486
116.35	79	0.8154
117.36	79	0.8095
118.37	78	0.7646
119.37	78	0.7998
120.38	78	0.8037
121.39	77	0.7968
122.39	77	0.7802
123.39	77	0.7470
124.39	77	0.7880
125.40	77	0.8173
126.40	77	0.7236
127.40	78	0.7392
128.41	78	0.7695
129.42	78	0.8076
130.43	78	0.7070
131.43	79	0.6718
132.43	80	0.6806
133.44	81	0.6933
134.45	81	0.7978
135.45	80	0.8857
136.45	79	0.8330
137.46	78	0.8193
138.47	78	0.8085
139.47	77	0.8349
140.48	76	0.8066
141.48	76	0.7519
142.49	77	0.6708
143.49	78	0.6552
144.50	79	0.7050
145.50	80	0.7939
146.50	79	0.8662
147.50	78	0.8369
148.51	77	0.8496
149.51	76	0.7734
150.51	76	0.7929
151.51	76	0.7558
152.52	76	0.7968
153.52	76	0.8154
154.52	76	0.8085
155.52	76	0.8652
156.52	75	0.8203
157.52	75	0.8349
158.53	75	0.8701
159.53	74	0.8437
160.53	74	0.8222
161.53	73	0.8007
162.53	74	0.8183
163.54	74	0.8476
164.54	73	0.8408
165.54	73	0.8310
166.54	73	0.8359
167.55	73	0.8027
168.55	73	0.8183
169.55	73	0.7890
170.55	73	0.8037
171.55	74	0.7773
172.55	74	0.7832
173.56	75	0.7636
174.56	75	0.7412
175.56	76	0.7978
176.56	76	0.7939
177.56	75	0.7822
178.57	76	0.8222
179.57	75	0.8496
180.57	75	0.8046
181.57	75	0.8154
182.57	75	0.7900
183.57	75	0.8017
184.57	75	0.7724
185.58	75	0.7910
186.58	75	0.8388
187.58	75	0.8291
188.58	74	0.8085
189.58	74	0.8232
190.58	74	0.7617
191.59	75	0.7802
192.59	75	0.7451
193.59	75	0.7236
194.61	76	0.7841
195.61	76	0.8671
196.61	75	0.8173
197.61	75	0.8027
198.62	75	0.7558
199.62	76	0.7089
200.62	78	0.6494
201.62	79	0.6494
202.62	82	0.6650
203.62	83	0.6904
204.63	83	0.7158
205.63	83	0.7773
206.63	83	0.6904
207.63	83	0.6972
208.63	84	0.6962
209.64	85	0.6367
210.64	87	0.6113
211.64	89	0.6259
212.64	91	0.6347
213.64	91	0.6689
214.64	91	0.6923
215.64	90	0.6875
216.64	90	0.7255
217.65	88	0.6748
218.65	89	0.6484
219.65	89	0.6425
220.65	90	0.6376
221.65	91	0.6337
222.66	92	0.6396
223.66	93	0.6425
224.66	93	0.6611
225.66	93	0.6191
226.66	93	0.6357
227.67	93	0.6513
228.67	93	0.6953
229.67	91	0.6845
230.67	90	0.6699
231.67	91	0.6347
232.67	92	0.6425
233.68	92	0.6533
234.68	92	0.7011
235.68	91	0.7382
236.70	89	0.6777
237.70	89	0.6523
238.71	90	0.6396
239.71	90	0.7080
240.74	89	0.6757
241.75	89	0.6347
242.75	90	0.6601
243.76	90	0.6826
244.76	90	0.7626
245.76	87	0.8300
246.77	86	0.7587
247.77	85	0.6972
248.77	85	0.6552
249.77	86	0.6328
250.77	87	0.6738
251.78	87	0.7587
252.79	86	0.7490
253.79	84	0.7617
254.79	83	0.7763
255.79	82	0.6806
256.80	83	0.7060
257.80	84	0.7392
258.80	84	0.7441
259.80	83	0.8105
260.80	82	0.7626
261.81	81	0.7558
262.81	81	0.6835
263.81	82	0.6630
264.82	83	0.6533
265.82	84	0.6787
266.82	85	0.7812
267.82	83	0.8720
268.82	82	0.7226
269.83	82	0.6796
270.83	83	0.7109
271.83	83	0.7050
272.84	83	0.6962
273.84	84	0.7236
274.84	84	0.7089
275.84	84	0.7314
276.84	84	0.6728
277.85	84	0.6367
278.86	86	0.6582
279.86	87	0.6767
280.86	88	0.6484
281.89	88	0.6865
282.91	88	0.6894
283.94	88	0.6640
284.97	88	0.6708
285.97	88	0.6757
287.00	89	0.6337
288.05	90	0.6210
289.06	91	0.6503
290.06	91	0.7597
291.06	89	0.7685
292.07	86	0.7636
293.07	87	0.6279
294.07	88	0.6298
295.08	90	0.6787
296.09	90	0.7324
297.09	88	0.7861
298.09	86	0.7607
299.09	85	0.7070
300.09	85	0.6923
301.09	85	0.6933
302.09	85	0.6396
303.11	87	0.6220
304.11	88	0.6757
305.11	88	0.7636
306.11	87	0.6601
307.11	88	0.6152
308.11	89	0.6816
309.12	89	0.7675
310.12	87	0.7949
311.12	85	0.6630
312.13	86	0.6318
313.13	87	0.6113
314.14	90	0.6396
315.14	90	0.7207
316.14	88	0.7119
317.15	88	0.6718
318.15	88	0.6142
319.15	92	0.5927
320.15	93	0.6455
321.17	93	0.6865
322.18	92	0.7011
323.18	91	0.7421
324.18	89	0.6826
325.18	90	0.5927
326.19	92	0.5966
327.19	94	0.5947
328.19	96	0.5937
329.19	98	0.5791
330.20	99	0.5781
331.20	101	0.5673
332.20	103	0.5488
