time	HeartRate	RR
0	95	0.6396
1.8385	95	0.6865
2.8391	93	0.7607
3.8408	91	0.7470
4.8431	88	0.7333
5.8457	87	0.6923
6.8475	87	0.7031
7.8496	87	0.7148
8.8515	87	0.6445
9.8532	88	0.6767
10.855	88	0.7548
11.857	86	0.7490
12.860	86	0.7070
13.861	86	0.6728
14.863	86	0.6171
15.864	89	0.6201
16.866	90	0.7255
17.868	88	0.7363
18.870	87	0.6757
19.873	87	0.6992
20.875	87	0.6923
21.877	87	0.7509
22.879	85	0.7343
23.882	85	0.6562
24.883	86	0.6601
25.884	87	0.6630
26.887	88	0.6806
27.889	88	0.6748
28.891	89	0.6562
29.892	89	0.6689
30.895	89	0.6435
31.897	90	0.6757
32.899	90	0.6347
33.902	91	0.6406
35.335	92	0.6123
36.337	94	0.5625
37.339	97	0.5742
38.340	99	0.6015
39.342	99	0.6025
40.345	99	0.6025
41.347	99	0.6074
42.349	99	0.6074
43.351	99	0.5927
44.352	101	0.5654
45.354	102	0.6289
46.355	100	0.6015
47.365	101	0.5839
48.367	101	0.6054
49.369	100	0.6220
50.375	100	0.5781
51.376	101	0.5761
52.387	102	0.5966
53.395	102	0.5849
54.399	101	0.5966
55.417	101	0.5703
56.420	103	0.5683
57.424	103	0.5976
58.433	102	0.6132
59.438	101	0.6191
60.439	100	0.5966
61.442	100	0.6044
62.443	99	0.6289
63.447	99	0.6279
64.452	97	0.6611
65.455	96	0.6308
66.456	95	0.6503
67.459	94	0.6660
68.461	93	0.6923
69.463	92	0.6621
70.465	91	0.6513
71.468	91	0.6767
72.469	90	0.6513
73.471	90	0.6621
74.474	90	0.7539
75.475	87	0.7841
76.477	86	0.6562
77.479	87	0.7001
78.482	87	0.7509
79.483	85	0.8271
80.486	84	0.7460
81.487	83	0.7832
82.490	83	0.7031
83.492	83	0.7734
84.495	83	0.8212
85.497	82	0.7177
86.830	81	0.7705
87.832	81	0.7421
88.834	81	0.6992
89.837	82	0.7343
90.839	82	0.8330
91.842	81	0.7626
92.843	80	0.7988
93.845	79	0.7363
94.847	79	0.7685
95.849	79	0.7333
96.851	79	0.6982
97.854	80	0.7285
98.855	80	0.7666
99.857	80	0.7656
100.85	80	0.7636
101.86	80	0.6894
102.86	81	0.6406
103.86	82	0.6904
104.86	83	0.7724
105.86	83	0.6865
106.87	83	0.7207
107.87	84	0.6796
108.87	84	0.7333
109.87	84	0.7275
110.87	83	0.7949
111.88	82	0.7382
112.88	82	0.7255
113.88	82	0.7412
114.88	82	0.7119
115.88	83	0.7060
116.88	83	0.6923
117.89	84	0.7529
118.89	84	0.7128
119.89	84	0.7470
120.89	83	0.7333
121.89	83	0.6894
122.89	84	0.6923
123.90	84	0.7373
124.90	84	0.7421
125.90	84	0.7861
126.90	83	0.7285
127.90	83	0.7539
128.90	82	0.7265
129.91	82	0.7138
130.91	83	0.7285
131.91	82	0.7841
132.91	82	0.7070
133.91	83	0.7099
134.92	83	0.7412
135.92	84	0.6679
136.92	85	0.6728
137.92	86	0.6923
138.92	86	0.7109
139.93	85	0.6542
140.93	86	0.6660
141.93	86	0.7001
142.93	87	0.6464
143.93	87	0.7128
144.94	87	0.7353
145.94	86	0.7187
146.94	85	0.7753
147.94	84	0.7099
148.94	84	0.7041
149.95	85	0.6904
150.95	85	0.6601
151.95	87	0.6552
152.95	87	0.6542
153.95	88	0.6601
154.95	89	0.6728
155.95	89	0.6220
156.96	90	0.6611
157.96	91	0.6093
158.96	93	0.6269
159.96	93	0.6494
160.97	93	0.6347
161.97	94	0.6191
162.97	94	0.5937
163.97	96	0.5859
164.97	97	0.6171
165.97	98	0.5898
166.98	99	0.6074
167.98	99	0.6083
168.98	99	0.6083
169.98	99	0.5898
170.98	101	0.5664
171.99	102	0.6015
172.99	102	0.5839
174.00	103	0.5800
175.00	103	0.5849
176.00	103	0.5751
177.00	102	0.6132
178.00	101	0.5820
179.01	102	0.5800
180.01	102	0.5869
181.01	103	0.5712
182.01	105	0.5400
183.01	107	0.5458
184.01	108	0.5341
185.02	109	0.5312
186.02	110	0.5205
187.02	112	0.5341
188.03	112	0.5380
189.03	111	0.5820
190.03	108	0.5957
191.07	106	0.6132
192.08	104	0.6132
193.11	102	0.5898
194.11	102	0.5947
195.11	101	0.6054
196.11	100	0.6269
197.14	98	0.7441
198.14	94	0.6357
199.18	94	0.6513
200.18	93	0.6484
201.19	93	0.6054
202.19	95	0.6240
203.22	95	0.6484
204.25	95	0.6191
205.27	95	0.6435
206.27	95	0.6826
207.27	94	0.6552
208.27	92	0.7695
209.29	90	0.7451
210.29	88	0.6650
211.30	88	0.6386
212.30	90	0.6435
213.34	90	0.6660
214.34	91	0.6816
215.35	90	0.6992
216.35	89	0.7441
217.35	87	0.7490
218.38	86	0.6767
219.39	87	0.6855
220.39	87	0.6689
221.40	87	0.6425
222.40	88	0.6562
223.40	89	0.6425
224.41	90	0.7490
225.43	88	0.7031
226.44	88	0.6865
227.46	88	0.6699
228.47	88	0.6787
229.51	88	0.6982
230.52	88	0.7001
231.57	88	0.6738
232.57	88	0.6181
233.60	90	0.6416
234.60	90	0.6425
235.61	90	0.7070
236.61	90	0.6816
237.63	89	0.6679
238.63	89	0.6435
239.64	90	0.6142
240.65	92	0.6269
241.65	93	0.6162
242.66	94	0.6484
243.67	93	0.6406
244.67	93	0.6601
245.68	93	0.6542
246.68	93	0.5996
247.71	95	0.6064
248.71	96	0.5839
249.71	98	0.5927
250.71	98	0.6093
251.73	98	0.5996
252.73	99	0.6015
253.75	98	0.6181
254.75	98	0.6357
255.76	97	0.6152
256.77	97	0.625
257.79	97	0.6025
258.79	98	0.5957
259.79	98	0.6015
260.79	99	0.5849
261.80	99	0.6367
262.80	98	0.6357
263.83	96	0.6064
264.83	99	0.5722
265.86	101	0.5722
266.87	102	0.5351
267.88	105	0.5371
268.88	107	0.5654
269.88	106	0.6728
270.90	100	0.6523
271.90	100	0.5859
272.91	100	0.5898
273.94	101	0.6074
274.94	100	0.6445
275.94	97	0.6396
276.94	96	0.6865
277.94	94	0.6337
278.96	94	0.6826
279.97	93	0.6240
280.98	93	0.6777
281.98	92	0.7070
283.01	91	0.6865
284.03	91	0.7265
285.04	89	0.6962
286.04	89	0.7421
287.05	88	0.6708
288.05	87	0.6943
289.05	87	0.6435
290.07	88	0.6757
291.10	88	0.6611
292.10	89	0.7041
293.11	88	0.6748
294.15	88	0.6777
295.17	88	0.7597
296.18	86	0.6914
297.18	87	0.6074
298.18	89	0.5976
299.19	92	0.6103
300.19	92	0.7207
301.19	90	0.7636
302.20	89	0.6621
303.20	90	0.6523
304.21	90	0.6533
305.21	90	0.6630
306.21	90	0.6718
307.22	90	0.6992
308.22	89	0.7275
309.22	88	0.7460
310.22	87	0.6435
311.22	89	0.6337
312.24	90	0.5917
313.24	93	0.5947
314.24	94	0.6718
315.25	93	0.6474
316.25	92	0.6914
317.25	91	0.6367
318.26	92	0.6884
319.26	91	0.6289
320.26	92	0.6406
321.26	93	0.5957
322.26	95	0.6035
323.27	96	0.6123
324.27	96	0.6533
325.27	95	0.6318
326.27	94	0.6611
327.28	94	0.625
328.28	95	0.6113
329.29	96	0.5781
330.29	99	0.5693
331.30	102	0.5380
332.30	105	0.5654
333.31	105	0.5771
334.31	104	0.6015
335.32	102	0.6816
336.32	98	0.6162
337.36	98	0.6337
338.36	97	0.6123
339.40	97	0.6904
340.43	95	0.6650
341.43	94	0.7617
342.44	92	0.7109
343.48	90	0.6865
344.50	89	0.7050
345.56	88	0.6904
346.57	89	0.6445
347.58	90	0.6503
348.59	90	0.6855
349.60	90	0.6914
350.61	89	0.7958
351.61	87	0.7021
352.62	86	0.7158
353.62	86	0.6621
354.63	87	0.6650
355.63	87	0.6728
356.64	88	0.8037
357.64	85	0.8574
358.68	84	0.8203
359.69	83	0.7744
360.69	82	0.6875
361.69	82	0.7802
362.70	82	0.7216
363.82	82	0.7011
364.83	82	0.75
365.84	82	0.7138
366.84	82	0.7519
367.84	82	0.6855
368.85	83	0.6591
369.85	85	0.6357
370.85	86	0.6513
371.86	87	0.6972
372.87	87	0.7109
373.87	86	0.7958
374.87	85	0.6953
375.89	84	0.6962
376.89	85	0.6718
377.89	86	0.6650
378.90	87	0.6474
379.91	88	0.6601
380.91	88	0.7099
381.91	87	0.7773
383.16	87	0.6699
384.17	87	0.6777
385.18	87	0.6601
386.18	87	0.7011
387.18	87	0.7158
388.18	87	0.6816
389.19	86	0.7207
390.19	86	0.6630
391.20	87	0.6845
392.20	86	0.7011
393.21	86	0.6650
394.21	86	0.7197
395.22	85	0.7519
396.22	85	0.6074
397.22	86	0.5761
398.22	93	0.5664
399.24	96	0.9716
400.24	98	0.8955
401.24	98	0.8642
402.24	97	0.7451
403.26	96	0.7607
404.26	91	0.7001
405.26	91	0.6660
406.26	91	0.6523
407.27	90	0.7675
408.27	88	0.8222
409.27	85	0.7265
410.27	85	0.6689
411.27	86	0.6259
412.28	90	0.5839
