CSV,HP,LP,ORDER,Decision Tree,Logistic Regression,KNN,SVC,Naive Bayes
9_40_9.csv,9,40,9,0.35714285714285715,0.42857142857142855,0.5,0.42857142857142855,0.5714285714285714
5_15_7.csv,5,15,7,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429
9_40_8.csv,9,40,8,0.5,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.5714285714285714
5_20_8.csv,5,20,8,0.35714285714285715,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429
5_20_9.csv,5,20,9,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.6428571428571429
5_20_7.csv,5,20,7,0.35714285714285715,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429
5_15_8.csv,5,15,8,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.5714285714285714,0.6428571428571429
5_15_9.csv,5,15,9,0.35714285714285715,0.42857142857142855,0.5,0.5714285714285714,0.6428571428571429
9_40_7.csv,9,40,7,0.42857142857142855,0.5,0.5714285714285714,0.5,0.7142857142857143

n 10 {'CSV': ['9_40_9.csv', '5_15_7.csv', '9_40_8.csv', '5_20_8.csv', '5_20_9.csv', '5_20_7.csv', '5_15_8.csv', '5_15_9.csv', '9_40_7.csv'], 'HP': ['9', '5', '9', '5', '5', '5', '5', '5', '9'], 'LP': ['40', '15', '40', '20', '20', '20', '15', '15', '40'], 'ORDER': ['9', '7', '8', '8', '9', '7', '8', '9', '7'], 'Decision Tree': [0.42857142857142855, 0.4642857142857143, 0.42857142857142855, 0.41428571428571426, 0.44285714285714284, 0.44285714285714284, 0.4357142857142857, 0.40714285714285714, 0.44285714285714284], 'Logistic Regression': [0.5499999999999999, 0.5357142857142857, 0.5, 0.5357142857142857, 0.5285714285714286, 0.5357142857142857, 0.5357142857142857, 0.5285714285714286, 0.5928571428571429], 'KNN': [0.4357142857142857, 0.42857142857142855, 0.44285714285714284, 0.45, 0.45, 0.42857142857142855, 0.45, 0.45, 0.4357142857142857], 'SVC': [0.5214285714285715, 0.5571428571428572, 0.5142857142857142, 0.5071428571428571, 0.5642857142857143, 0.5571428571428572, 0.5071428571428571, 0.5642857142857143, 0.5357142857142857], 'Naive Bayes': [0.4642857142857143, 0.4785714285714286, 0.4642857142857143, 0.4857142857142857, 0.4857142857142857, 0.4785714285714286, 0.4857142857142857, 0.4857142857142857, 0.5357142857142857]}
n 23 {'CSV': ['9_40_9.csv', '5_15_7.csv', '9_40_8.csv', '5_20_8.csv', '5_20_9.csv', '5_20_7.csv', '5_15_8.csv', '5_15_9.csv', '9_40_7.csv'], 'HP': ['9', '5', '9', '5', '5', '5', '5', '5', '9'], 'LP': ['40', '15', '40', '20', '20', '20', '15', '15', '40'], 'ORDER': ['9', '7', '8', '8', '9', '7', '8', '9', '7'], 'Decision Tree': [0.46273291925465837, 0.4440993788819876, 0.468944099378882, 0.42857142857142855, 0.39751552795031053, 0.42236024844720493, 0.38509316770186336, 0.45341614906832295, 0.40683229813664595], 'Logistic Regression': [0.546583850931677, 0.5217391304347826, 0.5248447204968945, 0.5093167701863354, 0.5124223602484472, 0.5217391304347826, 0.5093167701863354, 0.5124223602484472, 0.5683229813664596], 'KNN': [0.45341614906832295, 0.4658385093167702, 0.45962732919254656, 0.484472049689441, 0.4875776397515528, 0.4658385093167702, 0.484472049689441, 0.4875776397515528, 0.48757763975155277], 'SVC': [0.5279503105590062, 0.5434782608695652, 0.5217391304347826, 0.5031055900621118, 0.5403726708074534, 0.5434782608695652, 0.5031055900621118, 0.5403726708074534, 0.5527950310559007], 'Naive Bayes': [0.48447204968944096, 0.5, 0.48447204968944096, 0.5031055900621118, 0.5031055900621118, 0.5, 0.5031055900621118, 0.5031055900621118, 0.5]}
n 25 {'CSV': ['9_40_9.csv', '5_15_7.csv', '9_40_8.csv', '5_20_8.csv', '5_20_9.csv', '5_20_7.csv', '5_15_8.csv', '5_15_9.csv', '9_40_7.csv'], 'HP': ['9', '5', '9', '5', '5', '5', '5', '5', '9'], 'LP': ['40', '15', '40', '20', '20', '20', '15', '15', '40'], 'ORDER': ['9', '7', '8', '8', '9', '7', '8', '9', '7'], 'Decision Tree': [0.46285714285714286, 0.44571428571428573, 0.44571428571428573, 0.4514285714285714, 0.44285714285714284, 0.4514285714285714, 0.44571428571428573, 0.46, 0.44], 'Logistic Regression': [0.5657142857142857, 0.5342857142857143, 0.54, 0.52, 0.5257142857142857, 0.5342857142857143, 0.52, 0.5257142857142857, 0.5714285714285714], 'KNN': [0.46285714285714286, 0.4685714285714286, 0.46285714285714286, 0.49142857142857144, 0.4942857142857143, 0.4685714285714286, 0.49142857142857144, 0.4942857142857143, 0.5028571428571429], 'SVC': [0.54, 0.5514285714285714, 0.5342857142857143, 0.5114285714285715, 0.54, 0.5514285714285714, 0.5114285714285715, 0.54, 0.54], 'Naive Bayes': [0.4857142857142857, 0.5, 0.4857142857142857, 0.5028571428571429, 0.5028571428571429, 0.5, 0.5028571428571429, 0.5028571428571429, 0.5]}
