CSV,HP,LP,ORDER,Decision Tree,Logistic Regression,KNN,SVC,Naive Bayes
5_15_7,5,15,7,0.6935714285714286,0.4923124098124098,0.5656313131313131,0.5344047619047619,0.5854365079365079
5_20_7,5,20,7,0.6935714285714286,0.4923124098124098,0.5656313131313131,0.5344047619047619,0.5854365079365079
9_40_7,9,40,7,0.6688095238095239,0.5165079365079365,0.53998556998557,0.5532539682539682,0.592579365079365
5_20_9,5,20,9,0.6869047619047619,0.49503968253968256,0.5756313131313131,0.5410714285714285,0.5784920634920635
9_40_9,9,40,9,0.6821428571428572,0.5212698412698413,0.5616666666666666,0.5753968253968254,0.6086507936507937
5_15_9,5,15,9,0.6869047619047619,0.49503968253968256,0.5756313131313131,0.5410714285714285,0.5784920634920635
5_15_8,5,15,8,0.6869047619047619,0.4923124098124098,0.5756313131313131,0.5410714285714285,0.5854365079365079
9_40_8,9,40,8,0.6821428571428572,0.5212698412698413,0.5616666666666666,0.5615873015873016,0.6086507936507937
5_20_8,5,20,8,0.6869047619047619,0.4923124098124098,0.5756313131313131,0.5410714285714285,0.5854365079365079
