time	HeartRate	RR
0	85	0.6943
1.6171	85	0.6875
2.6189	85	0.7255
3.6207	85	0.7207
4.6217	85	0.6904
5.6232	85	0.7109
6.6241	85	0.6992
7.6264	85	0.6865
8.6319	86	0.6923
9.6337	86	0.6796
10.635	86	0.6542
11.639	87	0.6767
12.655	88	0.6748
13.657	88	0.6689
14.659	88	0.6748
15.663	88	0.6718
16.663	88	0.6640
17.665	89	0.6611
18.668	89	0.6679
19.676	89	0.6777
20.679	89	0.6767
21.681	89	0.7080
22.684	88	0.7089
23.685	87	0.6894
24.692	87	0.7060
25.694	87	0.7050
26.696	87	0.6962
27.698	87	0.6767
28.699	87	0.6992
29.701	86	0.7031
30.703	86	0.6865
31.705	86	0.7167
32.710	86	0.7207
33.712	85	0.7333
34.713	85	0.7050
35.715	85	0.7285
36.717	84	0.7255
37.718	84	0.7226
38.720	84	0.7265
39.723	84	0.7158
40.724	84	0.7021
41.726	85	0.6699
42.727	85	0.6865
43.730	85	0.6884
44.732	86	0.6972
45.733	86	0.6767
46.736	86	0.6494
47.738	88	0.6279
48.740	89	0.6240
49.741	91	0.6259
50.747	92	0.6308
51.749	92	0.6523
52.750	92	0.6650
53.752	92	0.6601
54.754	92	0.6728
55.756	91	0.6708
56.758	91	0.6816
57.759	90	0.6884
58.773	90	0.6621
59.777	90	0.6689
60.784	90	0.6591
61.786	90	0.6572
62.788	90	0.6630
63.790	91	0.6660
64.791	90	0.7138
65.798	90	0.7226
66.805	88	0.7246
67.807	87	0.6855
68.811	87	0.6689
69.815	88	0.6533
70.817	89	0.6416
71.819	90	0.6523
72.821	90	0.6621
73.822	90	0.6865
74.823	89	0.7080
75.825	89	0.6914
76.828	89	0.6796
77.829	89	0.6689
78.830	89	0.6494
79.832	89	0.6562
80.834	90	0.6621
81.836	90	0.6738
82.840	89	0.6894
83.842	89	0.6689
84.843	89	0.6738
85.845	90	0.6494
86.848	90	0.6416
87.849	91	0.6445
88.851	91	0.6562
89.854	92	0.6533
90.856	92	0.6621
91.856	91	0.6494
92.858	91	0.6669
93.859	91	0.6757
94.873	91	0.6728
95.875	90	0.6933
96.877	89	0.6884
97.882	89	0.6894
98.889	88	0.6923
99.891	88	0.7011
100.91	87	0.7021
101.91	87	0.6875
102.91	87	0.6904
103.92	87	0.6894
104.92	87	0.6767
105.92	87	0.6962
106.93	87	0.7050
107.93	87	0.7050
109.09	87	0.6982
110.09	87	0.6835
111.09	87	0.6582
112.10	88	0.6474
113.11	89	0.6328
114.14	90	0.6406
115.15	91	0.6484
116.15	91	0.6718
117.15	91	0.6708
118.16	90	0.6904
119.16	90	0.6826
120.16	89	0.6669
121.16	89	0.6718
122.17	89	0.6738
123.17	89	0.6875
124.18	89	0.6923
125.18	88	0.7128
126.18	88	0.7119
127.18	87	0.6806
128.19	87	0.6855
129.19	87	0.6835
130.19	87	0.6708
131.19	87	0.6884
132.20	87	0.6894
133.20	87	0.6875
134.20	88	0.6894
135.20	88	0.6884
136.20	87	0.6904
137.21	87	0.6933
138.21	87	0.7246
139.21	86	0.7246
140.21	86	0.6992
141.22	86	0.7089
142.22	85	0.6953
143.22	86	0.6796
144.22	86	0.6689
145.22	87	0.6777
146.23	87	0.6601
147.23	88	0.6884
148.23	88	0.6943
149.24	87	0.6992
150.24	87	0.7197
151.24	87	0.7099
152.24	86	0.7001
153.25	86	0.6855
154.25	87	0.6669
155.25	87	0.6621
156.26	88	0.6552
157.26	89	0.6533
158.26	89	0.6376
159.27	91	0.6289
160.27	92	0.6103
161.27	93	0.6171
162.28	94	0.6298
163.28	94	0.6728
164.28	93	0.6630
165.28	92	0.6748
166.28	91	0.6699
167.29	91	0.6503
168.29	91	0.6611
169.29	91	0.6669
170.29	91	0.6708
171.30	91	0.6699
172.30	90	0.7099
173.30	89	0.7177
174.30	88	0.6884
175.30	87	0.6982
176.31	87	0.6787
177.31	88	0.6748
178.31	88	0.6582
179.31	88	0.6718
180.32	89	0.6826
181.32	89	0.7050
182.32	88	0.6894
183.32	88	0.7041
184.33	87	0.7070
185.33	87	0.6757
186.33	87	0.6894
187.33	87	0.6855
188.33	87	0.6796
189.33	87	0.6816
190.33	88	0.6826
191.34	88	0.6904
192.34	88	0.6845
193.34	87	0.7041
194.34	87	0.7099
195.34	87	0.6904
196.35	87	0.7021
197.35	86	0.7050
198.35	86	0.7050
199.35	86	0.6943
200.37	86	0.6943
201.37	86	0.7070
202.37	86	0.7001
203.37	86	0.6728
204.38	87	0.6630
205.39	88	0.6474
206.39	89	0.6298
207.40	90	0.6201
208.40	92	0.6044
209.40	94	0.5898
210.40	96	0.5878
211.41	98	0.5800
212.41	101	0.5664
213.41	102	0.5576
214.58	104	0.5537
215.59	106	0.5400
216.59	108	0.5292
217.59	110	0.5283
218.59	111	0.5302
219.60	112	0.5634
220.60	112	0.6630
221.60	112	0.6591
222.60	111	0.6806
223.61	111	0.7958
224.61	104	0.875
225.62	92	0.8730
226.62	83	0.8417
227.62	81	0.8369
228.62	80	0.7744
229.64	79	0.7617
230.64	79	0.7636
231.65	79	0.8046
232.65	78	0.7705
233.66	79	0.6787
234.66	81	0.6523
235.66	82	0.6611
236.67	84	0.6845
237.67	84	0.6933
238.68	85	0.6855
239.68	85	0.6884
240.71	86	0.6650
241.71	87	0.6591
242.71	88	0.6533
243.71	88	0.6435
244.71	90	0.6210
245.75	91	0.6132
246.75	93	0.6298
247.77	93	0.6386
248.77	93	0.6425
249.77	93	0.6523
250.77	93	0.6425
251.77	93	0.6416
252.78	93	0.6386
253.78	93	0.6455
254.78	93	0.6669
255.78	92	0.6660
256.78	92	0.6679
257.78	91	0.6552
258.80	91	0.6533
259.80	91	0.6582
260.81	91	0.6562
261.81	91	0.6523
262.82	91	0.6523
263.83	91	0.6562
264.85	92	0.6542
265.85	92	0.6582
266.86	91	0.6757
267.86	91	0.6630
268.87	91	0.6796
269.87	90	0.6884
270.89	90	0.6650
271.89	90	0.6708
272.91	90	0.6542
273.91	90	0.6406
274.91	91	0.6474
275.91	91	0.6601
276.91	91	0.6621
