time	HeartRate	RR
0	72	0.8378
1.6118	72	0.7685
2.6132	72	0.8193
3.6145	73	0.8193
4.6163	73	0.7548
5.6182	73	0.7617
6.6287	74	0.7480
7.6309	75	0.7148
8.6330	76	0.7539
9.6353	77	0.7060
11.600	78	0.7382
12.603	79	0.6582
13.605	79	0.7294
14.607	80	0.7470
15.608	80	0.7060
16.610	81	0.7236
17.611	81	0.7246
18.614	82	0.6972
19.616	82	0.7128
20.617	83	0.6708
21.619	84	0.6855
22.621	84	0.7187
23.623	84	0.7207
24.625	84	0.6650
25.627	85	0.7509
26.630	85	0.7666
27.631	83	0.7988
28.633	83	0.6835
29.635	83	0.6904
30.637	84	0.7128
31.637	83	0.8681
32.640	82	0.7998
33.642	80	0.7939
34.644	80	0.7099
35.645	80	0.7304
36.647	80	0.7763
37.649	80	0.8164
38.650	79	0.8095
39.653	79	0.8457
40.654	79	0.8076
41.656	78	0.7714
42.657	78	0.8076
43.660	78	0.9228
44.662	77	0.8037
45.664	76	0.8046
46.666	76	0.7607
47.668	77	0.7382
48.669	78	0.6582
49.672	80	0.6396
50.674	81	0.6591
51.676	83	0.7089
52.677	83	0.8623
53.679	81	0.7851
54.681	81	0.8652
55.682	80	0.7431
56.684	79	0.7636
57.686	79	0.7246
58.688	79	0.7851
59.689	79	0.7792
60.691	79	0.8066
61.693	78	0.7246
62.694	79	0.8271
63.700	79	0.8593
64.701	78	0.7880
65.705	77	0.9287
66.709	76	0.7792
67.714	75	0.7265
68.717	77	0.7109
69.721	77	0.7470
70.722	78	0.6826
72.108	79	0.7363
73.110	79	0.7646
74.115	78	0.7958
75.125	79	0.7060
76.129	80	0.7226
77.132	80	0.7246
78.170	81	0.6777
79.171	81	0.7138
80.174	82	0.6582
81.175	83	0.6582
82.176	85	0.6259
83.180	87	0.6367
84.181	88	0.6953
85.200	87	0.7812
86.204	85	0.6669
87.207	86	0.6513
88.213	88	0.6162
89.214	92	0.5839
90.216	94	0.5908
91.217	95	0.6308
92.226	95	0.7060
93.228	93	0.7138
94.253	91	0.7246
95.256	90	0.6767
96.258	89	0.7089
97.259	89	0.7880
98.262	86	0.8037
99.278	84	0.8310
100.28	83	0.7617
101.31	82	0.6884
102.33	82	0.8222
103.34	82	0.7646
104.37	81	0.7695
105.39	81	0.7861
106.39	80	0.7324
107.41	81	0.6699
108.42	82	0.6503
109.43	83	0.6855
110.43	83	0.8710
111.45	81	0.8925
112.45	80	0.7900
113.45	79	0.7958
114.45	79	0.7333
115.46	79	0.7695
116.46	79	1.0546
117.46	72	1.0429
118.46	71	0.8437
119.46	71	0.8251
120.47	71	0.7832
121.47	72	0.7587
122.48	73	0.7880
123.50	74	0.8994
124.51	74	0.7929
125.51	73	0.8437
126.51	73	0.8115
127.51	73	0.7783
128.51	73	0.8457
129.52	73	0.8115
130.52	74	0.7451
131.60	74	0.8115
132.60	74	0.7744
133.60	75	0.7382
134.61	75	0.8007
135.61	75	0.8046
136.61	75	0.7539
137.61	76	0.7871
138.61	76	0.7890
139.62	76	0.7753
140.62	76	0.7802
141.62	76	0.7441
142.63	77	0.8544
143.63	77	0.8789
144.64	75	0.8203
145.64	76	0.6894
146.65	77	0.6757
147.65	79	0.6982
148.65	79	0.8222
149.65	79	0.8388
150.65	78	0.8496
151.66	77	0.7939
152.66	77	0.7822
153.66	77	0.7255
154.66	77	0.8447
155.66	77	1.1376
156.67	74	1.0048
157.68	73	0.9287
158.70	72	0.8759
159.71	71	0.7900
160.72	71	0.8779
161.72	71	0.9707
162.72	70	0.8701
163.72	70	0.8281
164.73	70	0.9619
165.73	70	1.0712
166.74	69	0.8808
167.74	68	0.7578
168.74	69	0.7568
169.74	70	0.8603
170.75	69	1.2734
171.75	68	0.8125
172.75	69	0.7294
173.75	71	0.7041
174.76	72	0.7656
175.76	74	0.7314
176.76	76	0.7099
177.76	77	0.6220
178.76	87	0.6064
179.76	94	0.5742
180.76	98	0.5478
181.77	101	0.5371
182.77	105	0.5390
183.77	106	0.6347
184.77	107	0.9433
185.77	107	0.9111
186.78	107	0.875
187.78	106	0.8837
188.78	105	0.6884
189.78	100	0.7031
190.78	93	0.7890
191.79	87	1.0830
192.79	81	0.8662
193.79	76	0.9667
194.79	74	1.0498
195.79	73	0.9443
196.79	71	0.9121
197.80	70	0.8242
198.80	70	0.7460
199.80	71	0.7636
200.80	72	0.7832
201.80	73	0.8417
202.81	73	0.7939
203.81	74	0.7265
204.81	75	0.7539
205.82	76	0.6953
206.82	77	0.6904
207.83	78	0.6572
208.83	80	0.7080
209.83	80	0.7343
210.84	79	0.7988
211.84	79	0.8369
212.84	78	0.8066
213.84	78	0.7509
214.84	78	0.7675
215.85	78	0.7949
216.85	77	0.9443
217.85	76	0.8173
218.85	76	0.7382
219.85	76	0.7675
220.93	77	0.8906
221.97	76	0.8544
222.97	75	0.7900
223.98	75	0.8076
224.98	75	0.8115
225.98	75	0.7119
226.98	76	0.7304
227.98	76	0.7441
228.98	77	0.8486
229.99	77	0.8593
230.99	76	0.8808
231.99	75	1.0888
232.99	74	1.0517
234.00	72	0.9599
235.00	71	0.9755
236.00	70	1.0712
237.01	69	1.0156
238.01	68	1.1025
239.01	67	1.1035
240.01	65	0.9648
241.02	65	0.8505
242.02	65	1.0869
243.05	64	1.0097
244.05	64	0.7578
245.06	64	0.7431
246.06	66	0.7460
247.06	67	0.8593
248.07	68	0.9375
249.07	68	0.8710
250.07	68	0.8828
251.07	68	0.8281
252.07	69	0.8017
253.07	70	0.7158
254.08	71	0.7851
255.08	72	0.9433
256.08	72	0.7958
257.08	72	1.0878
258.09	71	0.9882
259.09	70	0.8232
260.09	69	0.9013
261.10	69	0.8906
262.10	69	0.8232
263.10	69	0.9726
264.10	68	1.0634
265.10	67	0.8212
266.11	67	0.7353
267.11	69	0.7285
268.11	71	0.7216
269.11	72	0.7529
270.12	73	0.8222
271.12	73	0.7373
272.12	74	0.7539
273.13	75	0.7792
274.13	75	0.7548
275.14	76	0.7597
276.14	76	0.7783
277.14	76	0.7714
278.14	76	0.8300
279.14	76	0.8525
280.15	76	0.9062
281.15	75	0.7988
282.16	75	0.8994
283.16	74	0.9970
284.16	73	1.0029
285.17	72	0.8466
286.17	71	0.9355
287.17	70	0.8027
288.20	71	0.8164
289.20	72	0.7080
290.20	73	0.7080
291.21	74	0.8437
292.21	74	0.8437
293.22	74	0.8164
294.23	74	0.7441
295.23	75	0.6738
296.27	78	0.6474
297.32	80	0.6591
298.32	81	0.6953
299.33	82	0.6787
300.33	83	0.7558
301.33	83	0.7324
302.33	82	0.7392
303.34	83	0.7109
304.34	83	0.6494
305.34	85	0.6337
306.34	86	0.6210
307.36	89	0.6210
308.37	91	0.6005
309.37	93	0.6054
310.38	95	0.6025
311.38	97	0.6015
312.38	97	0.6044
313.38	98	0.6113
314.38	97	0.6835
315.39	95	0.6562
316.39	94	0.6767
317.39	92	0.6445
318.39	92	0.6972
319.39	92	0.6982
320.40	90	0.7119
321.40	89	0.6865
322.40	89	0.7031
323.40	89	0.7050
324.40	88	0.7421
325.40	86	0.8007
326.41	85	0.7929
327.41	84	0.7656
328.41	83	0.7548
329.41	82	0.6855
330.42	83	0.6474
331.42	85	0.6484
332.42	85	0.8583
333.42	84	0.8945
334.42	78	0.9628
335.42	77	0.9072
336.43	75	0.75
337.43	76	0.7568
338.43	76	0.8320
339.43	76	0.9501
340.43	75	0.9580
341.43	74	0.8320
342.44	74	0.7470
343.44	74	0.7080
344.44	75	0.7148
345.44	76	0.8134
346.44	76	0.7675
347.44	76	0.7011
348.44	78	0.6582
349.45	83	0.6035
350.45	86	0.6220
351.45	89	0.6181
352.45	90	0.6132
353.45	92	0.6103
354.46	95	0.5771
355.46	96	0.5703
356.46	99	0.5712
357.46	101	0.5927
358.46	101	0.6376
359.46	100	0.6806
360.46	96	0.7138
361.47	93	0.6630
362.47	93	0.6230
363.48	94	0.6074
364.48	97	0.5761
365.48	98	0.5644
366.48	101	0.5625
