time	HeartRate	RR
0	67	0.9111
2.7096	67	0.8857
3.7154	67	0.8154
4.7189	68	0.8105
5.7209	68	0.8886
6.7237	68	0.9501
7.7264	68	0.9716
8.7291	67	0.9443
9.7321	67	0.9082
10.736	67	0.9082
11.739	67	0.9462
12.742	67	0.9863
13.744	66	0.9628
14.747	66	0.9677
15.748	65	0.8564
16.751	65	0.8789
17.752	66	0.9140
18.755	66	0.7871
19.757	67	0.8017
20.760	68	0.8583
21.763	68	0.9716
22.766	68	1.0380
23.769	67	1.0263
24.771	66	1.0234
25.773	66	1.0029
26.777	65	1.0117
27.780	64	0.9912
28.783	64	0.9355
29.786	64	0.8701
30.788	64	0.9062
31.791	64	0.9453
32.793	64	0.9453
33.798	64	0.9902
34.801	64	1.0810
35.805	64	1.1259
36.812	63	1.0322
37.816	62	0.9873
38.818	62	1.0429
39.824	61	1.0654
40.827	61	1.0595
41.829	61	1.0468
42.832	60	1.0224
44.225	60	0.9716
45.227	60	0.8789
46.230	60	0.8515
47.232	61	0.8916
48.234	62	0.9208
49.237	63	0.9140
50.240	63	1.0146
51.252	63	1.0898
52.254	62	1.0947
53.282	61	1.0820
54.286	61	0.9404
55.288	61	0.8681
56.290	61	0.9072
57.294	62	0.9541
58.301	62	0.9902
59.305	62	1.0751
60.308	62	1.0058
61.320	61	0.9990
62.325	61	0.9736
63.338	61	0.8740
64.342	62	0.8056
65.346	63	0.8232
66.349	64	0.8574
67.355	65	0.9443
68.375	65	1.0146
69.377	65	1.0273
70.380	64	1.0244
71.383	63	1.0507
72.388	63	0.9824
73.391	62	0.9384
74.404	62	0.9697
75.414	63	1.0009
76.495	62	1.0039
77.502	62	0.9970
78.579	62	1.0126
79.585	62	1.0312
80.594	61	1.0527
81.613	61	1.0400
82.616	61	1.0341
83.618	60	1.0136
84.621	60	0.9560
85.623	60	0.8740
86.628	61	0.8593
87.631	62	0.8837
88.641	62	0.9365
89.643	63	0.9951
90.653	63	0.9882
91.655	62	0.9716
