time	HeartRate	RR
0	93	0.6230
1.6633	94	0.6406
2.6659	94	0.6279
3.6692	94	0.6044
4.6709	96	0.6083
5.6738	97	0.5869
6.6765	98	0.6044
7.6798	98	0.6308
8.6810	97	0.6767
9.6824	95	0.6357
10.686	95	0.6386
11.687	95	0.6787
12.690	93	0.6484
13.694	93	0.6425
14.715	93	0.6777
15.720	92	0.6562
16.725	92	0.6435
17.731	93	0.6601
18.743	92	0.6640
19.746	92	0.6357
20.752	92	0.6191
21.756	93	0.6298
22.758	93	0.7314
23.768	91	0.7265
24.787	89	0.6953
25.790	88	0.6972
27.651	89	0.6669
28.656	89	0.6494
29.661	89	0.7197
30.670	89	0.6474
31.675	89	0.6445
32.679	90	0.6992
33.682	89	0.6875
34.685	88	0.6923
35.687	88	0.6640
36.691	89	0.6582
37.692	89	0.6552
38.697	89	0.6660
39.698	89	0.6435
40.702	90	0.6210
41.704	91	0.6640
42.714	92	0.7675
43.716	89	0.7402
44.721	88	0.6777
45.724	88	0.6298
46.730	90	0.6132
47.733	93	0.5869
48.736	94	0.5751
49.738	98	0.5751
50.742	101	0.5556
51.744	103	0.5537
52.746	105	0.5478
53.747	107	0.5410
54.751	109	0.5351
55.751	109	0.5380
56.753	110	0.5292
57.756	112	0.5185
58.757	113	0.5146
59.762	114	0.5136
60.764	115	0.5244
61.766	114	0.5429
62.768	113	0.5468
63.770	112	0.5488
64.770	111	0.5449
65.774	110	0.5625
66.775	109	0.5615
67.778	109	0.5429
68.779	110	0.5322
69.783	111	0.5214
70.784	112	0.5244
71.788	113	0.5146
72.790	114	0.5341
73.799	112	0.5468
74.801	111	0.5625
75.810	110	0.5712
76.812	108	0.5576
77.814	108	0.5634
78.816	108	0.5527
79.819	108	0.5498
80.820	109	0.5429
81.825	109	0.5449
82.826	109	0.5429
83.831	111	0.5253
84.832	112	0.5312
85.856	112	0.5214
86.857	114	0.5244
87.860	113	0.5341
88.862	113	0.5478
89.875	111	0.5673
90.877	110	0.5566
91.880	109	0.5576
92.888	109	0.5468
93.890	109	0.5546
94.893	109	0.5371
95.895	110	0.5214
96.900	112	0.5195
97.901	113	0.5156
98.907	114	0.5380
99.908	112	0.5458
100.91	111	0.5478
101.91	111	0.5449
102.91	110	0.5400
103.92	111	0.5292
104.92	112	0.5292
105.92	112	0.5273
106.93	113	0.5195
107.93	113	0.5390
108.94	113	0.5371
109.94	113	0.5273
110.95	113	0.5312
111.95	113	0.5361
112.96	113	0.5449
113.96	111	0.5595
114.96	110	0.5498
115.97	110	0.5615
116.97	109	0.5458
117.98	110	0.5449
118.98	110	0.5312
119.98	111	0.5351
121.00	111	0.5292
122.00	112	0.5224
123.00	113	0.5410
124.01	112	0.5537
125.02	110	0.5712
126.02	108	0.5693
127.03	108	0.5429
128.03	108	0.5371
129.04	109	0.5478
130.04	108	0.5830
131.06	106	0.5722
132.06	107	0.5458
133.08	107	0.5498
134.08	108	0.5498
135.09	109	0.5302
136.09	110	0.5371
137.09	109	0.5761
138.10	109	0.5566
139.10	109	0.5351
140.11	109	0.5556
141.11	108	0.5625
142.12	108	0.5439
143.12	110	0.5214
144.13	111	0.5322
145.13	112	0.5439
146.13	111	0.5537
147.15	109	0.5625
148.16	109	0.5849
149.18	106	0.6142
150.19	104	0.5986
151.19	103	0.5693
152.20	104	0.5419
153.20	106	0.5488
154.20	106	0.5986
155.20	105	0.6210
156.21	102	0.6289
157.22	100	0.6621
158.24	97	0.6474
159.24	94	0.6318
160.24	95	0.5810
161.25	97	0.5839
162.26	99	0.5878
163.27	99	0.6093
164.27	99	0.6064
165.27	100	0.5751
166.28	101	0.5791
167.28	101	0.5859
168.29	101	0.6103
169.29	101	0.6064
170.29	101	0.5957
171.30	100	0.6142
172.30	100	0.5996
173.30	100	0.5947
174.31	101	0.5703
175.31	104	0.5507
176.32	105	0.5468
177.32	106	0.5527
178.33	107	0.5537
179.33	108	0.5419
180.35	110	0.5312
181.35	111	0.5380
182.36	110	0.5625
183.36	110	0.5400
184.37	111	0.5166
185.37	112	0.5156
