1607444665251.csv;;;;;;;;;;;;
Initial time: 1607444603859	| Ending time: 1607444665248	| Duration: 61,4 sec	| Sample rate: 0;;;;;;;;;;;;
MAC ADDRESS; SEQ ID; DIGITAL;;;; ANALOG;;;;;; TIMESTAMP
88:6B:0F:F1:94:16;7;1;1;0;0;3;497;0;0;0;0;1607444611334
88:6B:0F:F1:94:16;8;1;1;0;0;0;498;0;0;0;0;1607444611440
88:6B:0F:F1:94:16;9;1;1;0;0;3;493;0;0;0;0;1607444611524
88:6B:0F:F1:94:16;10;1;1;0;0;0;496;0;0;0;0;1607444611637
88:6B:0F:F1:94:16;11;1;1;0;0;3;481;0;0;0;0;1607444611719
88:6B:0F:F1:94:16;12;1;1;0;0;1;511;0;0;0;0;1607444611828
88:6B:0F:F1:94:16;13;1;1;0;0;1;508;0;0;0;0;1607444611935
88:6B:0F:F1:94:16;14;1;1;0;0;0;498;0;0;0;0;1607444612042
88:6B:0F:F1:94:16;15;1;1;0;0;1;497;0;0;0;0;1607444612124
88:6B:0F:F1:94:16;0;1;1;0;0;0;499;0;0;0;0;1607444612239
88:6B:0F:F1:94:16;1;1;1;0;0;3;498;0;0;0;0;1607444612320
88:6B:0F:F1:94:16;2;1;1;0;0;0;494;0;0;0;0;1607444612424
88:6B:0F:F1:94:16;3;1;1;0;0;3;472;0;0;0;0;1607444612532
88:6B:0F:F1:94:16;4;1;1;0;0;0;531;0;0;0;0;1607444612639
88:6B:0F:F1:94:16;5;1;1;0;0;3;512;0;0;0;0;1607444612720
88:6B:0F:F1:94:16;6;1;1;0;0;1;505;0;0;0;0;1607444612834
88:6B:0F:F1:94:16;7;1;1;0;0;3;505;0;0;0;0;1607444612940
88:6B:0F:F1:94:16;8;1;1;0;0;0;500;0;0;0;0;1607444613024
88:6B:0F:F1:94:16;9;1;1;0;0;3;499;0;0;0;0;1607444613132
88:6B:0F:F1:94:16;10;1;1;0;0;0;466;0;0;0;0;1607444613238
88:6B:0F:F1:94:16;11;1;1;0;0;3;523;0;0;0;0;1607444613322
88:6B:0F:F1:94:16;12;1;1;0;0;0;506;0;0;0;0;1607444613435
88:6B:0F:F1:94:16;13;1;1;0;0;3;509;0;0;0;0;1607444613542
88:6B:0F:F1:94:16;14;1;1;0;0;1;479;0;0;0;0;1607444613625
88:6B:0F:F1:94:16;15;1;1;0;0;3;446;0;0;0;0;1607444613720
88:6B:0F:F1:94:16;0;1;1;0;0;0;498;0;0;0;0;1607444613828
88:6B:0F:F1:94:16;1;1;1;0;0;3;476;0;0;0;0;1607444613935
88:6B:0F:F1:94:16;2;1;1;0;0;0;540;0;0;0;0;1607444614034
88:6B:0F:F1:94:16;3;1;1;0;0;3;520;0;0;0;0;1607444614123
88:6B:0F:F1:94:16;4;1;1;0;0;0;514;0;0;0;0;1607444614231
88:6B:0F:F1:94:16;5;1;1;0;0;1;505;0;0;0;0;1607444614339
88:6B:0F:F1:94:16;6;1;1;0;0;1;505;0;0;0;0;1607444614421
88:6B:0F:F1:94:16;7;1;1;0;0;3;496;0;0;0;0;1607444614529
88:6B:0F:F1:94:16;8;1;1;0;0;0;482;0;0;0;0;1607444614637
88:6B:0F:F1:94:16;9;1;1;0;0;3;460;0;0;0;0;1607444614728
88:6B:0F:F1:94:16;10;1;1;0;0;0;542;0;0;0;0;1607444614840
88:6B:0F:F1:94:16;11;1;1;0;0;3;511;0;0;0;0;1607444614925
88:6B:0F:F1:94:16;12;1;1;0;0;0;499;0;0;0;0;1607444615035
88:6B:0F:F1:94:16;13;1;1;0;0;3;494;0;0;0;0;1607444615144
88:6B:0F:F1:94:16;14;1;1;0;0;1;342;0;0;0;0;1607444615228
88:6B:0F:F1:94:16;15;1;1;0;0;3;491;0;0;0;0;1607444615332
88:6B:0F:F1:94:16;0;1;1;0;0;0;469;0;0;0;0;1607444615428
88:6B:0F:F1:94:16;1;1;1;0;0;3;547;0;0;0;0;1607444615538
88:6B:0F:F1:94:16;2;1;1;0;0;0;506;0;0;0;0;1607444615623
88:6B:0F:F1:94:16;3;1;1;0;0;3;495;0;0;0;0;1607444615733
88:6B:0F:F1:94:16;4;1;1;0;0;0;473;0;0;0;0;1607444615843
88:6B:0F:F1:94:16;5;1;1;0;0;3;406;0;0;0;0;1607444615932
88:6B:0F:F1:94:16;6;1;1;0;0;1;480;0;0;0;0;1607444616040
88:6B:0F:F1:94:16;7;1;1;0;0;3;476;0;0;0;0;1607444616122
88:6B:0F:F1:94:16;8;1;1;0;0;0;537;0;0;0;0;1607444616232
88:6B:0F:F1:94:16;9;1;1;0;0;3;514;0;0;0;0;1607444616339
88:6B:0F:F1:94:16;10;1;1;0;0;0;506;0;0;0;0;1607444616423
88:6B:0F:F1:94:16;11;1;1;0;0;3;509;0;0;0;0;1607444616537
88:6B:0F:F1:94:16;12;1;1;0;0;1;516;0;0;0;0;1607444616644
88:6B:0F:F1:94:16;13;1;1;0;0;1;491;0;0;0;0;1607444616726
88:6B:0F:F1:94:16;14;1;1;0;0;1;478;0;0;0;0;1607444616834
88:6B:0F:F1:94:16;15;1;1;0;0;3;536;0;0;0;0;1607444616941
88:6B:0F:F1:94:16;0;1;1;0;0;1;516;0;0;0;0;1607444617024
88:6B:0F:F1:94:16;1;1;1;0;0;3;511;0;0;0;0;1607444617140
88:6B:0F:F1:94:16;2;1;1;0;0;0;406;0;0;0;0;1607444617228
88:6B:0F:F1:94:16;3;1;1;0;0;3;503;0;0;0;0;1607444617337
88:6B:0F:F1:94:16;4;1;1;0;0;1;482;0;0;0;0;1607444617444
88:6B:0F:F1:94:16;5;1;1;0;0;3;536;0;0;0;0;1607444617547
88:6B:0F:F1:94:16;6;1;1;0;0;0;512;0;0;0;0;1607444617627
88:6B:0F:F1:94:16;7;1;1;0;0;3;502;0;0;0;0;1607444617734
88:6B:0F:F1:94:16;8;1;1;0;0;0;503;0;0;0;0;1607444617838
88:6B:0F:F1:94:16;9;1;1;0;0;3;500;0;0;0;0;1607444617921
88:6B:0F:F1:94:16;10;1;1;0;0;0;490;0;0;0;0;1607444618032
88:6B:0F:F1:94:16;11;1;1;0;0;3;503;0;0;0;0;1607444618139
88:6B:0F:F1:94:16;12;1;1;0;0;0;520;0;0;0;0;1607444618225
88:6B:0F:F1:94:16;13;1;1;0;0;3;507;0;0;0;0;1607444618329
88:6B:0F:F1:94:16;14;1;1;0;0;0;494;0;0;0;0;1607444618443
88:6B:0F:F1:94:16;15;1;1;0;0;3;498;0;0;0;0;1607444618525
88:6B:0F:F1:94:16;0;1;1;0;0;0;515;0;0;0;0;1607444618633
88:6B:0F:F1:94:16;1;1;1;0;0;3;493;0;0;0;0;1607444618743
88:6B:0F:F1:94:16;2;1;1;0;0;1;472;0;0;0;0;1607444618824
88:6B:0F:F1:94:16;3;1;1;0;0;3;545;0;0;0;0;1607444618932
88:6B:0F:F1:94:16;4;1;1;0;0;0;514;0;0;0;0;1607444619025
88:6B:0F:F1:94:16;5;1;1;0;0;1;504;0;0;0;0;1607444619129
88:6B:0F:F1:94:16;6;1;1;0;0;1;492;0;0;0;0;1607444619237
88:6B:0F:F1:94:16;7;1;1;0;0;3;495;0;0;0;0;1607444619344
88:6B:0F:F1:94:16;8;1;1;0;0;1;507;0;0;0;0;1607444619427
88:6B:0F:F1:94:16;9;1;1;0;0;3;508;0;0;0;0;1607444619535
88:6B:0F:F1:94:16;10;1;1;0;0;0;492;0;0;0;0;1607444619625
88:6B:0F:F1:94:16;11;1;1;0;0;3;472;0;0;0;0;1607444619731
88:6B:0F:F1:94:16;12;1;1;0;0;0;536;0;0;0;0;1607444619838
88:6B:0F:F1:94:16;13;1;1;0;0;3;508;0;0;0;0;1607444619923
88:6B:0F:F1:94:16;14;1;1;0;0;0;502;0;0;0;0;1607444620028
88:6B:0F:F1:94:16;15;1;1;0;0;3;497;0;0;0;0;1607444620131
88:6B:0F:F1:94:16;0;1;1;0;0;0;480;0;0;0;0;1607444620245
88:6B:0F:F1:94:16;1;1;1;0;0;3;484;0;0;0;0;1607444620333
88:6B:0F:F1:94:16;2;1;1;0;0;0;496;0;0;0;0;1607444620443
88:6B:0F:F1:94:16;3;1;1;0;0;3;479;0;0;0;0;1607444620524
88:6B:0F:F1:94:16;4;1;1;0;0;0;516;0;0;0;0;1607444620631
88:6B:0F:F1:94:16;5;1;1;0;0;3;527;0;0;0;0;1607444620739
88:6B:0F:F1:94:16;6;1;1;0;0;0;510;0;0;0;0;1607444620825
88:6B:0F:F1:94:16;7;1;1;0;0;3;497;0;0;0;0;1607444620937
88:6B:0F:F1:94:16;8;1;1;0;0;0;493;0;0;0;0;1607444621044
88:6B:0F:F1:94:16;9;1;1;0;0;3;500;0;0;0;0;1607444621127
88:6B:0F:F1:94:16;10;1;1;0;0;0;516;0;0;0;0;1607444621234
88:6B:0F:F1:94:16;11;1;1;0;0;3;487;0;0;0;0;1607444621342
88:6B:0F:F1:94:16;12;1;1;0;0;0;464;0;0;0;0;1607444621435
88:6B:0F:F1:94:16;13;1;1;0;0;1;546;0;0;0;0;1607444621525
88:6B:0F:F1:94:16;14;1;1;0;0;1;512;0;0;0;0;1607444621630
88:6B:0F:F1:94:16;15;1;1;0;0;3;502;0;0;0;0;1607444621738
88:6B:0F:F1:94:16;0;1;1;0;0;0;491;0;0;0;0;1607444621825
88:6B:0F:F1:94:16;1;1;1;0;0;3;495;0;0;0;0;1607444621928
88:6B:0F:F1:94:16;2;1;1;0;0;0;610;0;0;0;0;1607444622036
88:6B:0F:F1:94:16;3;1;1;0;0;3;490;0;0;0;0;1607444622125
